ID,Domain,Title,Risk,Methods,Evidence
WIKA-Q13,Routing,Explicit route definition bukan Route::resource(),Low,"Code review","TIDAK pakai Route::resource(). Semua route eksplisit per method untuk kontrol granular"
WIKA-Q14,Authentication,Multi-layer authentication,High,"Code review, Config review","3 layer: Session(cek_login) + BasicAuth+IP(basic_auth) + JWT(jwt.verify). Ref: Defense in Depth"
WIKA-Q15,Security,CSRF protection tanpa exception,High,"Code review, Config review","CSRF aktif untuk semua POST/PUT/DELETE. VerifyCsrfToken $except HARUS kosong. Ref: CWE-352"
AUTH-01,Authentication,Hash kata sandi kuat,High,"Code review, Config review","Analisis kode; audit konfigurasi hashing (argon2/bcrypt/scrypt)"
AUTH-08,Authentication,Tidak ada kredensial hardcoded,High,"Code review, Tool scan","Gitleaks/semgrep; temuan dievaluasi bukti lokasi"
AUTH-10,Authentication,JWT aman,Medium,"Code review, Config review","Periksa expiry signing alg claim sensitif"
SESS-02,Session,Cookie flag aman,High,"Test, Config review","HttpOnly Secure SameSite"
SESS-06,Session,Proteksi CSRF,High,"Test, Code review","Anti-CSRF token; same-site; double submit"
VAL-02,Validation & Encoding,Parameterized queries,High,"Code review, Test","Gunakan parameter/ORM; tanpa string-concat SQL"
VAL-03,Validation & Encoding,Escaping output,High,"Code review, Test","HTML/JSON/template encoded sesuai konteks"
VAL-04,Validation & Encoding,CSP diterapkan,Medium,Config review,"CSP policy minimal 'self'; nonces untuk inline"
VAL-06,Validation & Encoding,Security headers lain,Medium,Config review,"XFO X-CTO Referrer-Policy"
VAL-08,Validation & Encoding,Open redirect,Medium,Test,"Validasi target; whitelist"
CRYPTO-01,Crypto & Secrets,TLS modern,High,Config review,"TLS1.2+/cipher kuat; redirect 80→443"
CRYPTO-02,Crypto & Secrets,HSTS aktif,Medium,Config review,"max-age≥6 bulan; includeSubDomains opsional"
CRYPTO-06,Crypto & Secrets,Randomness kuat,High,Code review,"CSPRNG untuk token/ID; bukan math/rand"
CRYPTO-07,Crypto & Secrets,No custom crypto,High,Code review,"Hanya lib tervalidasi"
API-02,API Security,Rate limit & throttling,High,Test,"Limiter per user/IP/token/endpoint"
API-05,API Security,CORS untuk API,Medium,Config review,"Origin/header/method allowlist"
API-06,API Security,Pagination & limits,Medium,"Code review, Test","Limit/offset maksimum; cegah mass assignment"
LOG-02,Logging & Monitoring,No sensitive logging,High,Code review,"Tidak log password/token/secret/PII"
CONF-08,Configuration,Infra as Code aman,Medium,Code review,"Hadolint best practice Dockerfile"
AVA-01,Availability,Rate limiting global,High,Test,"Burst control per IP/user/global"
AVA-02,Availability,Circuit breaker & timeouts,Medium,Code review,"Timeout dan retry jitter pada client/DB"
